otu_id,Sample_186,Sample_185,Sample_184,Sample_182,Sample_181,Sample_170,Sample_169,Sample_168,Sample_167,Sample_166,Sample_165,Sample_164,Sample_163,Sample_162,Sample_160,Sample_159,Sample_158,Sample_157,Sample_156,Sample_155,Sample_153,Sample_152,Sample_151,Sample_150,Sample_149,Sample_148,Sample_147,Sample_146,Sample_145,Sample_143,Sample_142,Sample_141,Sample_140,Sample_139,Sample_138,Sample_136,Sample_135,Sample_134,Sample_133,Sample_132,Sample_131,Sample_130,Sample_129,Sample_128,Sample_126,Sample_125,Sample_124,Sample_123,Sample_122,Sample_120,Sample_119,Sample_118,Sample_117,Sample_116,Sample_115,Sample_114,Sample_113,Sample_112,Sample_111,Sample_110,Sample_109,Sample_108,Sample_107,Sample_106,Sample_105,Sample_104,Sample_103,Sample_101,Sample_100,Sample_099,Sample_097,Sample_096,Sample_095,Sample_094,Sample_093,Sample_092,Sample_091,Sample_090,Sample_089,Sample_088,Sample_087,Sample_086,Sample_084,Sample_083,Sample_082,Sample_076,Sample_075,Sample_074,Sample_073,Sample_072,Sample_071,Sample_070,Sample_069,Sample_068,Sample_067,Sample_066,Sample_064,Sample_063,Sample_062,Sample_060,Sample_059,Sample_058,Sample_057,Sample_056,Sample_055,Sample_054,Sample_053,Sample_051,Sample_050,Sample_049,Sample_048,Sample_047,Sample_046,Sample_045,Sample_044,Sample_043,Sample_042,Sample_041,Sample_040,Sample_039,Sample_038,Sample_037,Sample_036,Sample_035,Sample_034,Sample_033,Sample_032,Sample_031,Sample_030,Sample_029,Sample_028,Sample_027,Sample_026,Sample_025,Sample_024,Sample_023,Sample_022,Sample_021,Sample_020,Sample_019,Sample_018,Sample_017,Sample_016,Sample_015,Sample_014,Sample_013,Sample_012,Sample_011,Sample_010,Sample_009,Sample_006,Sample_005,Sample_004,Sample_003,Sample_002,Sample_001
Otu_1,2538,0,9026,12049,22126,15374,5244,0,0,0,40157,822,31573,0,0,2984,0,0,0,0,0,9570,3069,0,2378,0,0,0,0,11267,0,16548,675,5387,0,528,15508,0,19954,288,0,0,7921,2108,0,0,0,0,13395,0,0,4427,11091,5468,11283,9313,18694,54550,10710,39805,45304,27265,5373,9791,6855,232778,0,0,0,5119,0,1272,16340,0,18980,0,0,13746,0,10275,15488,7291,0,14852,4775,37469,0,46555,4038,9180,0,1584,0,14687,2519,0,7598,25543,23210,0,0,9092,0,0,0,0,0,1481,1006,0,0,84,2502,13454,6904,0,24777,0,0,0,0,0,29634,0,20844,19060,0,4241,1565,5344,0,0,6912,49745,0,995,1415,15389,2010,11258,0,8946,0,2059,0,0,1032,0,0,15341,0,7693,9023,13779,0,4970
Otu_2,0,0,0,609,2543,988,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,0,0,1709,1067,0,0,0,0,0,0,0,1357,0,1458,0,0,0,0,0,0,0,0,0,2921,0,1579,0,0,0,0,3174,5201,1578,0,741,0,0,0,10030,0,1113,0,0,0,0,59,0,0,1297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251,0,1527,0,1576,0,0,0,0,0,0,0,3907,2546,0,0,0,0,0,0,0,0,0,0,0,468,0,0,0,2940,0,0,0,0,0,0,0,0,0,0,1224,0,0,0
Otu_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu_7,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,863,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu_9,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu_10,0,0,10575,10764,504,0,33225,0,3848,1926,111017,0,23544,0,9882,98232,1245,0,0,0,0,126966,35750,0,17600,0,0,0,17633,6003,63807,99946,122534,536,0,2319,2266,60084,0,0,5097,47347,69299,142325,0,163764,4609,115945,101089,11166,0,65076,2641,60339,39025,8515,131428,0,0,0,37091,7092,17913,1128,10437,0,0,0,0,136566,0,17974,44664,76942,0,0,207699,0,60151,7383,16871,0,322,7994,24581,10957,0,60385,450,14116,30452,1811,0,220178,158653,0,654899,31438,0,0,0,76264,0,3484,861,0,24898,110417,0,0,38099,102607,2590,13104,911,1369,12113,0,0,0,0,0,100962,8137,80218,34374,0,61033,4937,569482,0,8330,21278,0,1870,0,65463,94381,0,2537,0,57906,0,45979,91911,0,27040,0,0,2280,586,0,26915,0,8541,17333
